Loaded file for Distance with 1 dimensions and 674 records averaging 3114.81
Loaded file for Weight with 1 dimensions and 266 records averaging 199.4
Frames merged
Values sorted
           Date  Weight   Distance
364  2019-02-18     NaN      0.000
365  2019-02-17     NaN      0.000
366  2019-02-16     NaN      0.000
367  2019-02-15     NaN      0.000
368  2019-02-14     NaN      0.000
369  2019-02-13     NaN      0.000
370  2019-02-12     NaN      0.000
371  2019-02-11     NaN      0.000
372  2019-02-10     NaN      0.000
373  2019-02-09     NaN      0.000
374  2019-02-08     NaN      0.000
375  2019-02-07     NaN      0.000
376  2019-02-06     NaN      0.000
377  2019-02-05     NaN      0.000
378  2019-02-04     NaN      0.000
379  2019-02-03     NaN      0.000
380  2019-02-02     NaN      0.000
381  2019-02-01     NaN      0.000
382  2019-01-31     NaN      0.000
383  2019-01-30     NaN      0.000
384  2019-01-29     NaN      0.000
385  2019-01-28     NaN      0.000
386  2019-01-27     NaN      0.000
387  2019-01-26     NaN      0.000
388  2019-01-25     NaN      0.000
389  2019-01-24     NaN      0.000
390  2019-01-23     NaN      0.000
391  2019-01-22     NaN      0.000
392  2019-01-21     NaN      0.000
393  2019-01-20     NaN      0.000
394  2019-01-19     NaN    122.690
395  2019-01-18     NaN      0.000
396  2019-01-17     NaN      0.000
397  2019-01-16     NaN      0.000
398  2019-01-15     NaN      0.000
399  2019-01-14     NaN      0.000
400  2019-01-13     NaN      0.000
401  2019-01-12     NaN      0.000
402  2019-01-11     NaN      0.000
403  2019-01-10     NaN      0.000
77   2019-01-09   198.3      0.000
404  2019-01-08     NaN      0.000
405  2019-01-07     NaN      0.000
406  2019-01-06     NaN      0.000
407  2019-01-05     NaN      0.000
78   2019-01-04   195.5      0.000
79   2019-01-03   197.8      0.000
80   2019-01-02   196.6      0.000
81   2019-01-01   198.7      0.000
408  2018-12-31     NaN      0.000
409  2018-12-30     NaN      0.000
410  2018-12-29     NaN      0.000
411  2018-12-28     NaN      0.000
412  2018-12-27     NaN      0.000
413  2018-12-26     NaN      0.000
414  2018-12-25     NaN      0.000
415  2018-12-24     NaN      0.000
416  2018-12-23     NaN      0.000
417  2018-12-22     NaN      0.000
418  2018-12-21     NaN      0.000
419  2018-12-20     NaN      0.000
420  2018-12-19     NaN      0.000
421  2018-12-18     NaN      0.000
422  2018-12-17     NaN      0.000
423  2018-12-16     NaN      0.000
424  2018-12-15     NaN      0.000
425  2018-12-14     NaN      0.000
426  2018-12-13     NaN      0.000
427  2018-12-12     NaN      0.000
428  2018-12-11     NaN      0.000
429  2018-12-10     NaN      0.000
430  2018-12-09     NaN      0.000
431  2018-12-08     NaN      0.000
432  2018-12-07     NaN      0.000
433  2018-12-06     NaN      0.000
434  2018-12-05     NaN      0.000
82   2018-12-04   193.7      0.000
435  2018-12-03     NaN      0.000
83   2018-12-02   197.7      0.000
436  2018-12-01     NaN      0.000
437  2018-11-30     NaN      0.000
438  2018-11-29     NaN      0.000
439  2018-11-28     NaN      0.000
440  2018-11-27     NaN      0.000
441  2018-11-26     NaN      0.000
442  2018-11-25     NaN      0.000
443  2018-11-24     NaN      0.000
444  2018-11-23     NaN      0.000
445  2018-11-22     NaN      0.000
446  2018-11-21     NaN      0.000
447  2018-11-20     NaN      0.000
448  2018-11-19     NaN      0.000
449  2018-11-18     NaN      0.000
450  2018-11-17     NaN      0.000
451  2018-11-16     NaN      0.000
452  2018-11-15     NaN      0.000
453  2018-11-14     NaN      0.000
454  2018-11-13     NaN      0.000
455  2018-11-12     NaN      0.000
456  2018-11-11     NaN      0.000
457  2018-11-10     NaN      0.000
458  2018-11-09     NaN      0.000
459  2018-11-08     NaN      0.000
460  2018-11-07     NaN      0.000
461  2018-11-06     NaN      0.000
462  2018-11-05     NaN      0.000
463  2018-11-04     NaN      0.000
464  2018-11-03     NaN      0.000
465  2018-11-02     NaN      0.000
466  2018-11-01     NaN      0.000
467  2018-10-31     NaN      0.000
468  2018-10-30     NaN      0.000
469  2018-10-29     NaN      0.000
470  2018-10-28     NaN      0.000
471  2018-10-27     NaN      0.000
472  2018-10-26     NaN      0.000
473  2018-10-25     NaN      0.000
474  2018-10-24     NaN      0.000
475  2018-10-23     NaN      0.000
476  2018-10-22     NaN      0.000
477  2018-10-21     NaN      0.000
478  2018-10-20     NaN      0.000
479  2018-10-19     NaN      0.000
480  2018-10-18     NaN      0.000
481  2018-10-17     NaN      0.000
482  2018-10-16     NaN      0.000
483  2018-10-15     NaN      0.000
484  2018-10-14     NaN      0.000
485  2018-10-13     NaN      0.000
84   2018-10-12   190.5      0.000
486  2018-10-11     NaN      8.470
487  2018-10-10     NaN  10536.001
488  2018-10-09     NaN      0.000
489  2018-10-08     NaN      0.000
490  2018-10-07     NaN   4984.960
491  2018-10-06     NaN      0.000
492  2018-10-05     NaN      0.000
493  2018-10-04     NaN      0.000
494  2018-10-03     NaN   6667.524
495  2018-10-02     NaN      0.000
85   2018-10-01   194.8      0.000
496  2018-09-30     NaN      0.000
497  2018-09-29     NaN      0.000
498  2018-09-28     NaN      0.000
499  2018-09-27     NaN      0.000
86   2018-09-26   187.7      0.000
87   2018-09-25   190.1    227.410
500  2018-09-24     NaN  16469.600
88   2018-09-19   185.8        NaN
89   2018-09-14   187.7   6776.041
90   2018-09-13   188.8   9687.428
91   2018-09-12   190.5   9609.869
92   2018-09-11   191.1  15650.471
93   2018-09-10   190.8      0.000
501  2018-09-09     NaN      0.000
502  2018-09-08     NaN      0.000
503  2018-09-07     NaN      0.000
504  2018-09-06     NaN      0.000
505  2018-09-05     NaN      0.000
506  2018-09-04     NaN      0.000
507  2018-09-03     NaN      0.000
508  2018-09-02     NaN      0.000
509  2018-09-01     NaN      0.000
510  2018-08-31     NaN      0.000
94   2018-08-30   184.1      0.000
511  2018-08-29     NaN      0.000
512  2018-08-28     NaN      0.000
513  2018-08-27     NaN      0.000
514  2018-08-26     NaN      0.000
515  2018-08-25     NaN      0.000
516  2018-08-24     NaN      0.000
517  2018-08-23     NaN      0.000
518  2018-08-22     NaN      0.000
519  2018-08-21     NaN      0.000
520  2018-08-20     NaN      0.000
95   2018-08-19   185.0      0.000
521  2018-08-18     NaN      0.000
522  2018-08-17     NaN      0.000
523  2018-08-16     NaN      0.000
524  2018-08-15     NaN      0.000
525  2018-08-14     NaN      0.000
526  2018-08-13     NaN      0.000
527  2018-08-12     NaN      0.000
528  2018-08-11     NaN      0.000
529  2018-08-10     NaN      0.000
530  2018-08-09     NaN      0.000
531  2018-08-08     NaN      0.000
532  2018-08-07     NaN      0.000
533  2018-08-06     NaN      0.000
534  2018-08-05     NaN      0.000
535  2018-08-04     NaN      0.000
536  2018-08-03     NaN      0.000
537  2018-08-02     NaN      0.000
538  2018-08-01     NaN      0.000
539  2018-07-31     NaN      0.000
540  2018-07-30     NaN      0.000
541  2018-07-29     NaN      0.000
542  2018-07-28     NaN      0.000
543  2018-07-27     NaN      0.000
544  2018-07-26     NaN      0.000
545  2018-07-25     NaN      0.000
546  2018-07-24     NaN      0.000
547  2018-07-23     NaN      0.000
548  2018-07-22     NaN      0.000
549  2018-07-21     NaN      0.000
550  2018-07-20     NaN      0.000
551  2018-07-19     NaN      0.000
96   2018-07-18   180.9      0.000
552  2018-07-17     NaN      0.000
553  2018-07-16     NaN      0.000
554  2018-07-15     NaN      0.000
555  2018-07-14     NaN      0.000
556  2018-07-13     NaN      0.000
557  2018-07-12     NaN      0.000
558  2018-07-11     NaN      0.000
97   2018-07-10   180.8      0.000
98   2018-07-09   179.5      0.000
559  2018-07-08     NaN      0.000
560  2018-07-07     NaN      0.000
99   2018-07-06   175.7      0.000
561  2018-07-05     NaN      0.000
100  2018-07-04   177.4      0.000
101  2018-07-03   179.2      0.000
102  2018-07-02   179.5      0.000
562  2018-07-01     NaN      0.000
563  2018-06-30     NaN      0.000
103  2018-06-29   177.8      0.000
104  2018-06-28   176.8      0.000
105  2018-06-27   178.2      0.000
106  2018-06-26   177.2      0.000
107  2018-06-25   179.6      0.000
564  2018-06-24     NaN      0.000
565  2018-06-23     NaN    441.630
108  2018-06-22   176.9   4837.371
109  2018-06-21   177.8  14896.551
110  2018-06-20   178.2   6226.128
111  2018-06-19   178.0   7540.669
112  2018-06-18   179.1   8538.549
113  2018-06-17   179.6   2286.910
114  2018-06-16   178.7   2628.631
115  2018-06-15   179.5   4960.970
116  2018-06-14   179.2   5145.680
117  2018-06-13   179.9   8302.989
118  2018-06-12   179.7   7165.200
119  2018-06-11   179.7   6054.649
120  2018-06-10   179.6      0.000
121  2018-06-09   178.3      0.000
122  2018-06-08   179.0      0.000
123  2018-06-07   180.5      0.000
124  2018-06-06   181.8      0.000
566  2018-06-05     NaN      0.000
125  2018-06-04   184.0      0.000
126  2018-06-03   182.0      0.000
127  2018-06-03   182.4      0.000
128  2018-06-03   186.4      0.000
129  2018-06-02   182.6      0.000
130  2018-06-01   182.3      0.000
131  2018-05-31   184.1      0.000
132  2018-05-30   184.9      0.000
133  2018-05-29   189.2      0.000
134  2018-05-28   188.3      0.000
567  2018-05-27     NaN      0.000
135  2018-05-26   185.0      0.000
136  2018-05-25   182.6      0.000
137  2018-05-24   184.7      0.000
138  2018-05-23   186.4      0.000
139  2018-05-22   187.7      0.000
140  2018-05-21   188.2      0.000
141  2018-05-20   189.8      0.000
142  2018-05-19   190.4      0.000
143  2018-05-18   188.1      0.000
144  2018-05-17   188.8      0.000
145  2018-05-16   189.6      0.000
146  2018-05-15   190.2      0.000
149  2018-05-14   196.7      0.000
148  2018-05-14   192.1      0.000
147  2018-05-14   192.4      0.000
150  2018-05-13   193.1      0.000
568  2018-05-12     NaN      0.000
569  2018-05-11     NaN      0.000
151  2018-05-10   186.4      0.000
152  2018-05-09   187.6      0.000
153  2018-05-08   189.5      0.000
154  2018-05-07   190.4      0.000
570  2018-05-06     NaN      0.000
571  2018-05-05     NaN      0.000
155  2018-05-04   188.9      0.000
156  2018-05-03   189.7      0.000
157  2018-05-02   190.8      0.000
158  2018-05-01   190.2      0.000
159  2018-04-30   192.2      0.000
572  2018-04-29     NaN      0.000
573  2018-04-28     NaN      0.000
160  2018-04-27   196.4      0.000
161  2018-04-26   190.9      0.000
162  2018-04-25   191.6      0.000
163  2018-04-24   193.1      0.000
